#,AI,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Hg,Pb
58,5.534,0.166,1.275,25.925,0.272,1.196,529.233,0.303,5.529,3.218,0,0.077,0,1.887
59,4.466,0.115,0.687,13.77,0.281,1.113,31.177,0.1,8.986,11.956,0,0.108,0.124,0.114
60,6.822,0.128,7.123,26.372,0.165,1.665,24.632,0.101,18.281,12.845,0.135,0.081,0.06,0.058
61,5.972,0.46,39.947,26.229,0.815,2.478,44.417,1.432,0.822,3.401,0.01,0.063,0.029,0.215
62,5.65,0.156,119.799,35.254,0.478,1.92,346.528,0.276,2.082,8.621,0.074,0.086,0.095,0.487
63,6.582,0.105,29.983,17.437,1.521,1.639,6.754,0.099,24.683,65.212,0,0.317,0.18,0.761
64,10.788,0.163,7.178,22.559,0.876,6.64,41.749,0.223,8.068,13.532,0.092,0.159,0.025,0.593
65,5.442,0.106,6.418,11.575,0.099,0.765,33.127,0.036,0.141,6.823,0.027,0.052,0.002,0.168
66,10.537,0.168,9.204,30.587,1.015,1.248,21.453,0.147,0.407,19.772,0,0.12,0.107,0.05
67,4.331,1.225,3.023,22.982,0.322,1.152,21.307,0.085,2.59,4.463,0,0.067,0.045,0.023
68,23.215,0.203,4.133,22.569,1.247,3.937,33.786,0.526,0.431,31.777,0,0.313,0,1.995
69,5.477,0.1,1.235,4.926,0.721,2.048,96.089,0.278,1.54,5.479,0.617,0.124,0.225,0.264
70,9.33,0.116,2.399,5.712,0.825,1.696,23.273,0.045,0.607,5.817,0.481,0.112,0.093,0.107
71,104.083,0.363,16.318,83.896,0.267,1.42,40.065,0.394,1.838,14.186,0.334,0.141,0.194,0.188
72,79.226,0.42,8.578,79.959,1.418,2.732,121.194,0.773,1.277,9.335,0.369,0.211,0.16,0.421
73,10.252,0.081,55.088,64.69,0.505,3.856,20.133,0.503,0.285,25.603,0.123,0.225,0.043,0.156
74,24.042,0.145,18.581,20.175,0.305,1.471,76.507,0.158,0.376,1.728,0.066,0.098,0.029,0.192
75,154.025,0.605,26.117,102.06,0.337,1.954,24.525,0.644,0.611,20.217,0.122,0.199,0.035,0.36
76,59.07,0.235,208.514,53.68,0.976,1.867,47.134,0.369,0.81,7.516,0,0.181,0.029,0.4
77,57.796,0.724,2.231,39.869,0.364,1.535,64.756,0.339,3.708,3.717,0,0.103,0.034,0.26
78,45.892,0.182,200.801,34.662,0.602,2.396,15.966,0.288,0.906,11.12,0,0.146,0.038,0.416
79,17.773,0.122,3.424,17.909,0.418,5.252,53.722,0.342,3.084,5.585,0,0.146,0.033,0.457
80,22.134,0.136,41.398,21.489,0.198,5.782,18.595,0.548,0.34,6.513,0,0.094,0.011,0.315
81,18.848,0.238,5.125,47.87,0.468,3,82.714,0.176,2.069,12.384,0,0.193,0.052,0.328
82,29.971,0.075,7.779,27.189,0.774,2.051,217.756,0.266,1.53,2.488,0,0.12,0.042,5.911
83,51.903,0.234,4.961,42.136,0.557,1.57,137.865,0.1,0.851,1.897,0,0.152,0.041,0.274
84,41.212,0.145,3.723,48.396,0.142,1.983,85.242,0.271,0.045,7.26,0,0.1,0,0.605
85,43.415,0.183,5.787,38.117,0.359,2.004,87.012,0.468,0.557,8.447,0.134,0.133,0.163,0.46
86,37.947,0.16,14.198,37.349,0.408,1.914,46.197,0.455,1.549,19.1,0.07,0.244,0.095,0.317
87,60.046,0.196,74.053,45.317,1.327,2.34,2310.399,0.605,2.106,6.786,0.009,0.345,0.076,0.334
88,55.431,0.213,5.662,47.485,0.252,0.833,23.893,0.574,0.086,20.378,0.004,0.186,0.15,0.204
89,21.824,0.154,12.882,52.038,0.473,2.56,23.967,0.197,1.177,6.877,0,0.122,0.023,0.237
90,45.133,0.147,2.143,59.002,0.44,3.119,50.012,0.215,1.671,6.414,0.013,0.2,0.019,0.411
91,4.542,0.054,2.165,3.712,0.398,1.307,322.003,0.094,1.983,1.228,0,0.148,0.004,0.479
92,8.96,0.065,1.32,14.868,0.242,3.863,17.821,0.219,3.953,8.507,0,0.111,0.026,0.179
93,16.28,0.105,3.682,26.151,0.205,3.106,137.362,0.253,0.598,6.802,0.023,0.127,0.042,0.346
94,7.382,0.066,2.263,10.077,0.271,0.916,29.449,0.229,0.168,17.942,0,0.114,0.049,0.201
95,4.848,0.125,1.19,6.994,0.302,2.01,30.272,0.16,5.035,15.387,0,0.097,0.095,0.159
96,1.738,0.109,0.798,0.124,0.498,4.882,19.705,0.127,0.928,0.672,0,0.097,0,0.377
97,12.725,0.054,4.145,10.527,0.82,1.561,38.01,0.11,0.421,0.926,0,0.057,0,0.148
98,42.41,0.076,1.279,1.625,0.257,1.704,31.339,0.368,0.226,12.917,0,0.123,0,0.18
99,8.188,0.1,19.609,27.013,1,2.546,102.423,0.354,0.548,26.135,0,0.22,0,0.32
100,0,0,0,342.33,0,105.39,106.53,0,0,0,0,1.32,0,33.52
101,14.43,0.073,5.416,12.221,1.22,1.504,8.55,0.033,0.027,0.051,0,0.084,0,0.493
